task,preference_score
deep_clean,15
mon_PM_clean_1,12
rags_1,12
rags_2,12
thu_AM_clean,12
thu_PM_clean_1,12
wed_AM_clean,12
wed_PM_clean_1,12
right_fridge,11
fri_AM_clean,10
tue_PM_clean_1,10
kitchen_mop,9
outdoor_fridge,9
tue_AM_clean,9
upstairs_bathroom,9
mail_bringin_sort,8
maintenance_2,8
mon_AM_clean,8
sun_PM_clean_1,8
thu_PM_clean_2,8
tue_PM_clean_2,8
tue_farmers_mkt,8
wed_PM_clean_2,8
kitchen_bathroom,7
mon_PM_clean_2,7
sat_AM_clean,7
sun_PM_clean_2,7
window_cleaning,7
afternoon_dishwasher_run,6
appliance_clean,6
downstairs_bathroom,6
floor1_clean,6
floor2_clean,6
snack_maker,6
sun_cook_1,6
tue_cook_1,6
laundry_area_clean,5
patio_clean,5
sun_AM_clean,5
floor3_clean,4
fri_PM_clean_1,4
sat_PM_clean_1,4
thu_cook_1,4
tue_waste_mgr,4
wed_berkeley_bowl,4
wed_cook_1,4
assistant_chore_e_ographer,3
floor3_deck_clean,3
free_pile_donator,3
mon_cook_1,3
organize_kitchen_shelves,3
studio_clean,3
vacuum_stairs_kitchen_and_main,3
chore_e_ographer,2
corporate_finance,2
drain/fill_hot_tub,2
ewaste_remover,2
finance_magician,2
food_mgr,2
fri_PM_clean_2,2
maintenance_1,2
membership,2
sat_PM_clean_2,2
sat_farmers_mkt,2
urban_ore_dump_run,2
duster_or_cobweb_sweeper,1
fri_cook_1,0
sat_cook_1,0