task,pref
sun_AM_clean,0
sun_cook_1,2
sun_PM_clean_1,0
sun_PM_clean_2,0
mon_AM_clean,0
mon_cook_1,0
mon_PM_clean_1,0
mon_PM_clean_2,0
tue_AM_clean,0
tue_cook_1,0
tue_PM_clean_1,0
tue_PM_clean_2,0
wed_AM_clean,0
wed_cook_1,0
wed_PM_clean_1,0
wed_PM_clean_2,0
thu_AM_clean,0
thu_cook_1,0
thu_PM_clean_1,0
thu_PM_clean_2,0
fri_AM_clean,0
fri_cook_1,0
fri_PM_clean_1,0
fri_PM_clean_2,0
sat_AM_clean,0
sat_cook_1,0
sat_PM_clean_1,0
sat_PM_clean_2,0
membership,0
corporate_finance,0
finance_magician,0
food_mgr,0
chore_e_ographer,2
assistant_chore_e_ographer,0
maintenance_1,0
maintenance_2,0
rags_1,0
rags_2,0
appliance_clean,0
afternoon_dishwasher_run,0
outdoor_fridge,0
right_fridge,0
floor1_clean,0
floor2_clean,0
floor3_clean,0
floor3_deck_clean,0
studio_clean,0
mail_bringin_sort,0
snack_maker,0
deep_clean,0
organize_kitchen_shelves,0
drain/fill_hot_tub,0
vacuum_stairs_kitchen_and_main,0
ewaste_remover,0
free_pile_donator,0
duster_or_cobweb_sweeper,0
urban_ore_dump_run,0
window_cleaning,0
kitchen_mop,0
patio_clean,0
laundry_area_clean,0
kitchen_bathroom,0
downstairs_bathroom,0
upstairs_bathroom,0
tue_waste_mgr,0
wed_berkeley_bowl,0
sat_farmers_mkt,0
tue_farmers_mkt,0